YouTube ID,Start (s),End (s),Title,Duration (s),Start,End,Duration
kMs96859L6l,1284,1410,,126,21:24,23:30,2:06
4m4UqO0wf7Y,1590,1764,,174,26:30,29:24,2:54
Z2VzLulxmJI,1767,1881,,114,29:27,31:21,1:54
sZCpL3U8XYU,1902,1974,,72,31:42,32:54,1:12
n_4Aht9F4D8,1977,2238,,261,32:57,37:18,4:21
hEZ7EEYAp2E,2241,2475,,234,37:21,41:15,3:54
irtecbpxqBw,2478,2616,,138,41:18,43:36,2:18
YPjLycUANZs,2622,2808,,186,43:42,46:48,3:06
ITmMITYINWk,2811,2877,,66,46:51,47:57,1:06
81CZH65zZJ6,2880,3060,,180,48:00,51:00,3:00
OKT_gqHKOG6,3063,3099,,36,51:03,51:39,0:36
WkYqjZe1sw,3102,3120,,18,51:42,52:00,0:18
UvFafmeowSk,3123,3471,,348,52:03,57:51,5:48
NDvGNLuSxZA,3477,3555,,78,57:57,59:15,1:18
